et_date,entry_dt,exit_dt,direction,or_high,or_low,or_size_pct,entry_price,exit_price,stop,target,hours_held,gross_pct,net_pct,exit_reason,year_month
2023-12-08,2023-12-08 11:00:00-05:00,2023-12-08 14:00:00-05:00,short,4593.5,4575.5,0.39075219798111366,4606.5,4610.25,4615.5,4579.5,0,-0.0813,-0.0929,eod,2023-12
2023-12-11,2023-12-11 11:00:00-05:00,2023-12-11 13:00:00-05:00,short,4609.5,4599.75,0.21134774833360429,4613.25,4618.125,4618.125,4598.625,3,-0.1056,-0.1172,stop,2023-12
2023-12-12,2023-12-12 11:00:00-05:00,2023-12-12 14:00:00-05:00,short,4626.5,4610.5,0.34547908232118757,4631.25,4639.25,4639.25,4607.25,4,-0.1724,-0.184,stop,2023-12
2023-12-14,2023-12-14 13:00:00-05:00,2023-12-14 13:00:00-05:00,long,4739.25,4724.25,0.3176788267062,4721.75,4714.25,4714.25,4744.25,1,-0.1588,-0.1704,stop,2023-12
2023-12-18,2023-12-18 12:00:00-05:00,2023-12-18 12:00:00-05:00,short,4786.75,4778.75,0.16692749087115286,4792.5,4796.5,4796.5,4780.5,1,-0.0834,-0.095,stop,2023-12
2023-12-19,2023-12-19 11:00:00-05:00,2023-12-19 14:00:00-05:00,short,4808.75,4796.5,0.2545322320918394,4812.75,4813.5,4818.875,4794.375,0,-0.0156,-0.0272,eod,2023-12
2023-12-20,2023-12-20 11:00:00-05:00,2023-12-20 12:00:00-05:00,short,4817.75,4807.5,0.21243523316062177,4825.0,4830.125,4830.125,4809.625,2,-0.1061,-0.1177,stop,2023-12
2023-12-21,2023-12-21 11:00:00-05:00,2023-12-21 11:00:00-05:00,long,4790.25,4780.0,0.21446879740545066,4779.25,4774.125,4774.125,4794.625,1,-0.1072,-0.1188,stop,2023-12
2023-12-26,2023-12-26 11:00:00-05:00,2023-12-26 12:00:00-05:00,short,4816.25,4808.0,0.17125064867669954,4817.5,4821.625,4821.625,4805.125,2,-0.0856,-0.0972,stop,2023-12
2023-12-29,2023-12-29 11:00:00-05:00,2023-12-29 11:00:00-05:00,long,4833.5,4827.0,0.13488275575845612,4819.0,4815.75,4815.75,4828.75,1,-0.0674,-0.079,stop,2023-12
2024-01-02,2024-01-02 12:00:00-05:00,2024-01-02 14:00:00-05:00,short,4789.75,4774.0,0.3286213551718742,4792.75,4769.75,4800.625,4769.125,0,0.4822,0.4706,eod,2024-01
2024-01-03,2024-01-03 11:00:00-05:00,2024-01-03 14:00:00-05:00,long,4768.0,4756.0,0.2524588439488771,4753.25,4771.25,4747.25,4771.25,4,0.3787,0.3671,target,2024-01
2024-01-04,2024-01-04 11:00:00-05:00,2024-01-04 11:00:00-05:00,short,4749.5,4737.0,0.26286735713159143,4755.25,4761.5,4761.5,4736.5,1,-0.1313,-0.1429,stop,2024-01
2024-01-05,2024-01-05 11:00:00-05:00,2024-01-05 13:00:00-05:00,short,4741.5,4719.25,0.46770718377213727,4757.25,4723.875,4768.375,4723.875,3,0.7065,0.6949,target,2024-01
2024-01-08,2024-01-08 11:00:00-05:00,2024-01-08 12:00:00-05:00,short,4752.75,4732.75,0.42027843446283164,4758.75,4768.75,4768.75,4728.75,2,-0.2097,-0.2213,stop,2024-01
2024-01-09,2024-01-09 12:00:00-05:00,2024-01-09 13:00:00-05:00,short,4776.25,4767.5,0.18241517694272164,4796.75,4801.125,4801.125,4783.625,2,-0.0911,-0.1027,stop,2024-01
2024-01-10,2024-01-10 13:00:00-05:00,2024-01-10 14:00:00-05:00,short,4807.25,4787.75,0.4055951328584057,4807.75,4817.5,4817.5,4778.5,2,-0.2024,-0.214,stop,2024-01
2024-01-11,2024-01-11 11:00:00-05:00,2024-01-11 11:00:00-05:00,long,4832.25,4806.5,0.537550232242576,4790.25,4777.375,4777.375,4828.875,1,-0.2688,-0.2804,stop,2024-01
2024-01-12,2024-01-12 11:00:00-05:00,2024-01-12 14:00:00-05:00,long,4836.5,4813.0,0.4887687188019967,4808.0,4812.75,4796.25,4843.25,0,0.0988,0.0872,eod,2024-01
2024-01-16,2024-01-16 11:00:00-05:00,2024-01-16 14:00:00-05:00,short,4805.5,4783.5,0.4572616263964666,4811.25,4792.0,4822.25,4778.25,0,0.4017,0.3901,eod,2024-01
2024-01-17,2024-01-17 14:00:00-05:00,2024-01-17 14:00:00-05:00,long,4771.75,4758.0,0.2892149129726035,4754.25,4762.5,4747.375,4774.875,0,0.1735,0.1619,eod,2024-01
