z_thresh,hold,direction,n,mean,alpha,win_pct,t_stat
1.0,5,long,278,0.46,0.1,57.6,0.6
1.0,5,short,273,0.04,0.33,42.3,2.02
1.0,10,long,276,0.92,0.2,61.9,0.85
1.0,10,short,273,0.4,0.32,41.6,1.38
1.0,20,long,275,1.8,0.38,63.7,1.16
1.0,20,short,272,1.41,0.01,38.3,0.03
1.0,60,long,267,4.67,0.53,68.7,0.92
1.0,60,short,266,3.72,0.42,37.2,0.72
1.5,5,long,95,0.82,0.46,58.9,1.67
1.5,5,short,136,0.11,0.25,40.9,1.1
1.5,10,long,93,1.34,0.62,63.2,1.56
1.5,10,short,136,0.7,0.02,40.1,0.06
1.5,20,long,92,3.01,1.59,72.6,2.8
1.5,20,short,135,2.24,-0.82,30.7,-1.74
1.5,60,long,86,5.24,1.11,62.1,1.08
1.5,60,short,131,4.24,-0.11,33.6,-0.13
2.0,5,long,44,1.45,1.08,59.1,2.69
2.0,5,short,79,0.21,0.15,38.0,0.5
2.0,10,long,44,1.89,1.17,70.5,2.04
2.0,10,short,79,0.81,-0.09,38.0,-0.21
2.0,20,long,43,3.78,2.36,75.0,2.85
2.0,20,short,78,2.29,-0.87,29.1,-1.42
2.0,60,long,39,6.33,2.2,65.9,1.44
2.0,60,short,75,3.76,0.37,36.7,0.34
2.5,5,short,46,-0.11,0.47,41.3,1.19
2.5,10,short,46,0.12,0.6,47.8,1.07
2.5,20,short,45,2.01,-0.59,34.8,-0.73
2.5,60,short,42,4.47,-0.34,41.3,-0.23
