entry_dt,exit_dt,direction,entry_z,exit_z,hours_held,gross_pct,net_pct,exit_reason,year_month,hold_bin
2024-01-02 14:00:00,2024-01-03 15:00:00,short,2.545024329400295,2.6419984717517666,24,-0.3781,-0.3868,timeout,2024-01,12-24h
2024-01-03 16:00:00,2024-01-04 17:00:00,short,3.000652435254171,2.388330253745993,24,-0.262,-0.2707,timeout,2024-01,12-24h
2024-01-18 16:00:00,2024-01-19 17:00:00,long,-2.535068372419603,-2.1461328994742987,24,-0.2347,-0.2434,timeout,2024-01,12-24h
2024-01-22 00:00:00,2024-01-23 01:00:00,long,-2.636426565759777,-1.614580530075814,24,0.3867,0.378,timeout,2024-01,12-24h
2024-02-16 14:00:00,2024-02-20 15:00:00,short,2.9165093612849464,3.538229832257219,24,-0.5713,-0.58,timeout,2024-02,12-24h
2024-02-20 16:00:00,2024-02-21 17:00:00,short,3.797366337124111,2.680657796889538,24,-0.1084,-0.1171,timeout,2024-02,12-24h
2024-02-21 18:00:00,2024-02-22 18:00:00,short,2.845590650679095,0.4958213821597457,23,1.0348,1.0261,z_revert,2024-02,12-24h
2024-03-01 18:00:00,2024-03-04 19:00:00,long,-2.5843649117795584,-1.425634100691285,24,0.29,0.2813,timeout,2024-03,12-24h
2024-04-11 13:00:00,2024-04-12 14:00:00,long,-2.927576346931258,-1.7726221280327286,24,-0.1336,-0.1423,timeout,2024-04,12-24h
2024-04-19 13:00:00,2024-04-22 14:00:00,short,2.5349517546923184,2.735559105778506,24,-0.8519,-0.8606,timeout,2024-04,12-24h
2024-04-22 16:00:00,2024-04-23 17:00:00,short,2.5444080994054157,1.2563757753091638,24,0.5867,0.578,timeout,2024-04,12-24h
2024-05-20 18:00:00,2024-05-21 19:00:00,long,-2.510488301009727,-1.8198767149166677,24,0.004,-0.0047,timeout,2024-05,12-24h
2024-05-23 01:00:00,2024-05-24 02:00:00,long,-2.5076038207289257,-1.761486014108408,24,0.0043,-0.0044,timeout,2024-05,12-24h
2024-06-12 20:00:00,2024-06-13 22:00:00,long,-2.9096860469124417,-2.0074470998245038,24,-0.0355,-0.0442,timeout,2024-06,12-24h
2024-07-05 13:00:00,2024-07-08 14:00:00,long,-2.7550777254324283,-1.9037673833939217,24,0.0088,0.0001,timeout,2024-07,12-24h
2024-07-17 13:00:00,2024-07-18 14:00:00,short,2.6869648697796906,2.3054144399616985,24,-0.5511,-0.5598,timeout,2024-07,12-24h
2024-07-18 15:00:00,2024-07-19 16:00:00,short,2.51331053704946,1.6869883535918369,24,0.3566,0.3479,timeout,2024-07,12-24h
2024-08-05 01:00:00,2024-08-06 02:00:00,short,2.5062637879912173,0.6168583365296905,24,1.4841,1.4754,timeout,2024-08,12-24h
2024-08-28 14:00:00,2024-08-29 15:00:00,short,2.56806589337053,1.231409333314544,24,0.4205,0.4118,timeout,2024-08,12-24h
2024-09-26 01:00:00,2024-09-27 02:00:00,long,-2.5720795259211524,-1.5792171001588693,24,0.1188,0.1101,timeout,2024-09,12-24h
2024-10-16 13:00:00,2024-10-17 14:00:00,short,2.7436507835603186,1.7737175251969934,24,0.2069,0.1982,timeout,2024-10,12-24h
2024-10-25 13:00:00,2024-10-28 14:00:00,long,-2.540184110054111,-1.653176210791825,24,0.1179,0.1092,timeout,2024-10,12-24h
2024-10-29 19:00:00,2024-10-30 20:00:00,long,-2.671280805566264,-1.1457016182350903,24,0.4602,0.4515,timeout,2024-10,12-24h
2024-11-07 16:00:00,2024-11-08 17:00:00,long,-2.644890736620785,-1.1611777231622273,24,0.3372,0.3285,timeout,2024-11,12-24h
2024-11-15 16:00:00,2024-11-18 17:00:00,short,2.7438418816649115,1.5316985932452165,24,0.3359,0.3272,timeout,2024-11,12-24h
2024-11-27 15:00:00,2024-12-02 06:00:00,short,3.0332220987844436,1.2082858486731956,24,0.6275,0.6188,timeout,2024-12,12-24h
2024-12-03 21:00:00,2024-12-04 23:00:00,long,-2.621179800501332,-2.556715367998801,24,-0.4226,-0.4313,timeout,2024-12,12-24h
2024-12-16 17:00:00,2024-12-17 18:00:00,long,-2.56323262194294,-1.9691131765438494,24,-0.1376,-0.1463,timeout,2024-12,12-24h
2025-01-26 23:00:00,2025-01-28 00:00:00,short,2.521555342546308,2.6551302215268406,24,-0.7886,-0.7973,timeout,2025-01,12-24h
2025-01-28 01:00:00,2025-01-29 02:00:00,short,2.766948979756551,1.1038640974564793,24,0.6159,0.6072,timeout,2025-01,12-24h
2025-02-17 01:00:00,2025-02-19 02:00:00,long,-2.5715246360528847,-1.8767074275645805,24,0.0998,0.0911,timeout,2025-02,12-24h
2025-02-25 14:00:00,2025-02-26 15:00:00,short,2.581463420560813,2.0484270885396634,24,-0.1558,-0.1645,timeout,2025-02,12-24h
2025-02-27 19:00:00,2025-02-28 20:00:00,short,2.577271392329201,1.9947313044963584,24,-0.3461,-0.3548,timeout,2025-02,12-24h
2025-03-10 14:00:00,2025-03-11 15:00:00,short,2.5003110908809707,1.3556378456334441,24,0.5465,0.5378,timeout,2025-03,12-24h
2025-03-25 20:00:00,2025-03-26 14:00:00,long,-2.58021953316243,-0.44365489510237693,17,0.6442,0.6355,z_revert,2025-03,12-24h
2025-03-30 22:00:00,2025-03-31 23:00:00,short,2.5998336195967684,2.431409940053931,24,-0.4999,-0.5086,timeout,2025-03,12-24h
2025-04-09 20:00:00,2025-04-10 22:00:00,long,-2.5103263728616505,-1.5235106311791506,24,0.6427,0.634,timeout,2025-04,12-24h
2025-05-11 23:00:00,2025-05-13 00:00:00,long,-2.5541288003258193,-2.083553269784817,24,-0.26,-0.2687,timeout,2025-05,12-24h
2025-05-13 13:00:00,2025-05-14 14:00:00,long,-2.7817066019348227,-2.6422465543404337,24,-0.7217,-0.7304,timeout,2025-05,12-24h
2025-05-14 15:00:00,2025-05-15 16:00:00,long,-2.611313673869492,-2.004723147984448,24,-0.1803,-0.189,timeout,2025-05,12-24h
2025-05-29 00:00:00,2025-05-29 18:00:00,long,-2.698633636140234,-0.36629873837230087,18,0.63,0.6213,z_revert,2025-05,12-24h
2025-06-05 14:00:00,2025-06-05 20:00:00,long,-2.7829548204605934,-0.19116063075168846,6,0.7153,0.7066,z_revert,2025-06,0-6h
2025-06-24 06:00:00,2025-06-25 07:00:00,long,-2.5814109346993446,-2.4366408730588756,24,-0.1404,-0.1491,timeout,2025-06,12-24h
2025-06-25 08:00:00,2025-06-26 09:00:00,long,-2.5164242039490823,-2.5375324804331787,24,-0.2746,-0.2833,timeout,2025-06,12-24h
2025-06-26 10:00:00,2025-06-27 11:00:00,long,-2.510488298650867,-2.1171885247167057,24,-0.1097,-0.1184,timeout,2025-06,12-24h
