entry_date,exit_date,direction,entry_z,exit_z,entry_spread,exit_spread,days_held,gross_pct,net_pct,exit_reason,year
2021-09-07,2021-09-21,long,-2.1005342381372474,-1.4762522633357777,-1.2437050865556536,-1.2410260066740353,10,0.2679,0.2592,timeout,2021
2021-11-04,2021-11-10,long,-2.175051497943429,-0.4381162357607064,-1.2511950725577776,-1.2362239211077792,4,1.4971,1.4884,z_revert,2021
2021-11-18,2021-12-03,long,-2.025302230309337,-0.46315040406035474,-1.2543417643844652,-1.2424144473950562,10,1.1927,1.184,z_revert,2021
2022-01-05,2022-01-20,short,2.2415848583181397,2.2699878868896355,-1.211921946470854,-1.1989431366692092,10,-1.2979,-1.3066,timeout,2022
2022-01-21,2022-02-04,short,2.64034197564644,1.6685895930782586,-1.189737566036083,-1.184451272744031,10,-0.5286,-0.5373,timeout,2022
2022-03-14,2022-03-22,short,2.0689202525241135,0.3338650171865407,-1.1400477095772672,-1.17952544467747,6,3.9478,3.9391,z_revert,2022
2022-04-20,2022-05-04,short,2.052851848033079,1.1371266808499318,-1.1452572697145236,-1.1474920642428224,10,0.2235,0.2148,timeout,2022
2022-05-06,2022-05-20,short,2.2162606462746868,1.8610376032587628,-1.125535495015388,-1.110698632255854,10,-1.4837,-1.4924,timeout,2022
2022-05-24,2022-06-08,short,2.29866896492806,0.8687884398851861,-1.0943312606187767,-1.1205502421270985,10,2.6219,2.6132,timeout,2022
2022-07-21,2022-07-26,long,-2.169705409674309,-0.35421398187734154,-1.1502595764167758,-1.127317585280192,3,2.2942,2.2855,z_revert,2022
2022-08-02,2022-08-16,long,-2.1008012427570684,-1.3935698184029872,-1.1496633145252577,-1.1539280086208308,10,-0.4265,-0.4352,timeout,2022
2022-10-11,2022-10-25,short,2.1431940724931544,1.1222096168661684,-1.1029786538545103,-1.1074229183502649,10,0.4444,0.4357,timeout,2022
2022-10-27,2022-11-10,short,2.4432680783498424,1.4198595739524007,-1.078936633281856,-1.0772848943550883,10,-0.1652,-0.1739,timeout,2022
2022-12-27,2023-01-11,short,2.295209311883922,0.8978822959506868,-1.0408127904578208,-1.0565102354561073,10,1.5697,1.561,timeout,2023
2023-02-02,2023-02-16,long,-2.991600021399596,-1.6489244666345777,-1.1200321959682924,-1.1134016671512086,10,0.6631,0.6544,timeout,2023
2023-03-16,2023-03-30,long,-2.183637402817088,-1.6226741653829264,-1.1559764166876345,-1.165140251122951,10,-0.9164,-0.9251,timeout,2023
2023-05-25,2023-06-09,long,-2.4554426414369996,-1.6722360915859273,-1.2119223714936833,-1.2183013904663564,10,-0.6379,-0.6466,timeout,2023
2023-10-06,2023-10-20,long,-2.0799678186775,-0.7525201201441865,-1.2472692196806463,-1.238829531075945,10,0.844,0.8353,timeout,2023
2023-11-10,2023-11-24,long,-2.3495540675729214,-1.2804271392035786,-1.2585180562378735,-1.2547701622620107,10,0.3748,0.3661,timeout,2023
2024-01-19,2024-02-02,long,-2.434253224875366,-1.289914906620427,-1.2756891431884032,-1.2699331218218468,10,0.5756,0.5669,timeout,2024
2024-04-19,2024-05-03,short,2.7835485245508425,0.4168636681700229,-1.2336019396918658,-1.250494804007113,10,1.6893,1.6806,z_revert,2024
2024-05-28,2024-06-11,long,-2.2964922772404597,-2.3296668817099215,-1.2689367244281335,-1.2736767899246768,10,-0.474,-0.4827,timeout,2024
2024-06-12,2024-06-27,long,-2.6677465829138653,-1.732889821944241,-1.2787563395101529,-1.2846283786120178,10,-0.5872,-0.5959,timeout,2024
2024-07-03,2024-07-17,long,-2.037161960816199,0.08416754919590562,-1.2950744586207232,-1.265900520915796,9,2.9174,2.9087,z_revert,2024
2024-12-04,2024-12-18,long,-2.0403126734586263,-2.627717303916735,-1.2617063308307301,-1.284647359421161,10,-2.2941,-2.3028,timeout,2024
2024-12-19,2025-01-06,long,-2.113339137286967,-1.6404010126423054,-1.2802354594156036,-1.2841905396434274,10,-0.3955,-0.4042,timeout,2025
2025-02-27,2025-03-13,short,2.2364856441524177,2.0834675430497662,-1.2546513597044502,-1.247723477583035,10,-0.6928,-0.7015,timeout,2025
2025-03-18,2025-04-01,short,2.141801109077705,1.7484492530352453,-1.2442720563305514,-1.2397766779619772,10,-0.4495,-0.4582,timeout,2025
2025-05-13,2025-05-28,long,-2.1527479114886208,-1.9686157614381212,-1.2819589030349743,-1.2870258683424094,10,-0.5067,-0.5154,timeout,2025
2025-08-07,2025-08-19,long,-2.3010265328420987,0.11120307170664054,-1.305790965917316,-1.294338440670165,8,1.1453,1.1366,z_revert,2025
2025-09-22,2025-10-06,long,-2.2021397775406713,-1.7645039302260261,-1.3090830109841427,-1.3109718222378515,10,-0.1889,-0.1976,timeout,2025
2025-10-08,2025-10-22,long,-2.173760199441623,-1.1917563063941463,-1.3149225232951167,-1.312829871728125,10,0.2093,0.2006,timeout,2025
2025-10-27,2025-11-10,long,-2.210933684486588,-1.1344496511468034,-1.3239849848538636,-1.321821466588828,10,0.2164,0.2077,timeout,2025
2026-02-04,2026-02-19,short,3.5524524395735115,1.939920316853871,-1.286419025700166,-1.2850272929038749,10,-0.1392,-0.1479,timeout,2026
2026-04-15,2026-04-29,long,-2.1627074138439664,-2.523335350727428,-1.3175404668117565,-1.3381845074789531,10,-2.0644,-2.0731,timeout,2026
